id,fname,lat,long,ename
12167034,امين شهر,,,
12167035,انار,,,
12167036,اندوهجرد,,,
12167037,باغين,,,
12167038,بافت,,,
12167039,بردسير,,,
12167040,بروات,,,
12167041,بزنجان,,,
12167042,بم,,,
12167043,بهرمان,,,
12167044,پاريز,,,
12167045,جبالبارز,,,
12167046,جوپار,,,
12167047,جوزم,,,
12167048,جيرفت,,,
12167049,چترود,,,
12167050,خاتون آباد,,,
12167051,خانوك,,,
12167052,خورسند,,,
12167053,درب بهشت,,,
12167054,دوساري,,,
12167055,دهج,,,
12167056,رابر,,,
12167057,راور,,,
12167058,راين,,,
12167059,رفسنجان,,,
12167060,رودبار,,,
12167061,ريحان شهر,,,
12167062,زرند,,,
12167063,زنگي آباد,,,
12167064,زيدآباد,,,
12167065,سرچشمه,,,
12167066,سيرجان,,,
12167067,شهداد,,,
12167068,شهربابك,,,
12167069,صفائيه,,,
12167070,عنبرآباد,,,
12167071,فارياب,,,
12167072,فهرج,,,
12167073,قلعه گنج,,,
12167074,كاظم آباد,,,
12167075,كرمان,,,
12167076,كشكوئيه,,,
12167077,كوهبنان,,,
12167078,كهنوج,,,
12167079,كيانشهر,,,
12167080,گلباف,,,
12167081,گلزار,,,
12167082,لاله زار,,,
12167083,ماهان,,,
12167084,محمد آباد,,,
12167085,محي آباد,,,
12167086,مردهك,,,
12167087,منوجان,,,
12167088,نجف شهر,,,
12167089,نرماشير,,,
12167090,نظام شهر,,,
12167091,نگار,,,
12167092,نودژ,,,
12167093,هجدك,,,
12167094,هماشهر,,,
12167095,يزدان شهر,,,
12167096,ازگله,,,
12167097,اسلام آبادغرب,,,
12167098,باينگان,,,
12167099,بيستون,,,
12167100,پاوه,,,
12167101,تازه آباد,,,
12167102,جوانرود,,,
12167103,حميل,,,
12167104,رباط,,,
12167105,روانسر,,,
12167106,سرپل ذهاب,,,
12167107,سرمست,,,
12167108,سطر,,,
12167109,سنقر,,,
12167110,سومار,,,
12167111,شاهو,,,
12167112,صحنه,,,
12167113,قصرشيرين,,,
12167114,كرمانشاه,,,
12167115,كرندغرب,,,
12167116,كنگاور,,,
12167117,كوزران,,,
12167118,گهواره,,,
12167119,گيلانغرب,,,
12167120,ميان راهان,,,
12167121,نودشه,,,
12167122,نوسود,,,
12167123,هرسين,,,
12167124,هلشي,,,
12167125,باشت,,,
12167126,پاتاوه,,,
12167127,چرام,,,
12167128,چيتاب,,,
12167129,دوگنبدان,,,
12167130,دهدشت,,,
12167131,ديشموك,,,
12167132,سوق,,,
12167133,سي سخت,,,
12167134,قلعه رئيسي,,,
12167135,گراب سفلي,,,
12167136,لنده,,,
12167137,ليكك,,,
12167138,مادوان,,,
12167139,مارگون,,,
12167140,ياسوج,,,
12167141,انبارآلوم,,,
12167142,اينچه برون,,,
12167143,آزادشهر,,,
12167144,آق قلا,,,
12167145,بندرگز,,,
12167146,تركمن,,,
12167147,جلين,,,
12167148,خان ببين,,,
12167149,دلند,,,
12167150,راميان,,,
12167151,سرخنكلاته,,,
12167152,سيمين شهر,,,
12167153,علي آباد,,,
12167154,فاضل آباد,,,
12167155,كردكوي,,,
12167156,كلاله,,,
12167157,گاليكش,,,
12167158,گرگان,,,
12167159,گميش تپه,,,
12167160,گنبد كاووس,,,
12167161,مراوه تپه,,,
12167162,مينودشت,,,
12167163,نگين شهر,,,
12167164,نوده خاندوز,,,
12167165,نوكنده,,,
12167166,احمدسرگوراب,,,
12167167,اسالم,,,
12167168,اطاقور,,,
12167169,املش,,,
12167170,آستارا,,,
12167171,آستانه اشرفيه,,,
12167172,بازارجمعه,,,
12167173,بره سر,,,
12167174,بندرانزلي,,,
12167175,پره سر,,,
12167176,توتكابن,,,
12167177,جيرنده,,,
12167178,چابكسر,,,
12167179,چاف وچمخاله,,,
12167180,چوبر,,,
12167181,حويق,,,
12167182,خشكبيجار,,,
12167183,خمام,,,
12167184,ديلمان,,,
12167185,رانكوه,,,
12167186,رحيم آباد,,,
12167187,رستم آباد,,,
12167188,رشت,,,
12167189,رضوانشهر,,,
12167190,رودبار,,,
12167191,رودبنه,,,
12167192,رودسر,,,
12167193,سنگر,,,
12167194,سياهكل,,,
12167195,شفت,,,
12167196,شلمان,,,
12167197,صومعه سرا,,,
12167198,فومن,,,
12167199,كلاچاي,,,
12167200,كوچصفهان,,,
12167201,كومله,,,
12167202,كياشهر,,,
12167203,گوراب زرميخ,,,
12167204,لاهيجان,,,
12167205,لشت نشاء,,,
12167206,لنگرود,,,
12167207,لوشان,,,
12167208,لولمان,,,
12167209,لوندويل,,,
12167210,ليسار,,,
12167211,ماسال,,,
12167212,ماسوله,,,
12167213,مرجقل,,,
12167214,منجيل,,,
12167215,واجارگاه,,,
12167216,هشتپر,,,
12167217,ازنا,,,
12167218,اشترينان,,,
12167219,الشتر,,,
12167220,اليگودرز,,,
12167221,بروجرد,,,
12167222,پلدختر,,,
12167223,چالانچولان,,,
12167224,چغلوندي,,,
12167225,چقابل,,,
12167226,خرم آباد,,,
12167227,درب گنبد,,,
12167228,دورود,,,
12167229,زاغه,,,
12167230,سپيددشت,,,
12167231,سراب دوره,,,
12167232,شول آباد,,,
12167233,فيروز آباد,,,
12167234,كوناني,,,
12167235,كوهدشت,,,
